category,size_mb,installs,price,content_rating,reviews,update_days,num_screenshots,has_ads,is_free,rating
Tools,191.96,500000,9.99,Teen,3592,133,6,1,0,4.1
House & Home,77.65,100000,0.0,Mature 17+,23499,172,4,1,1,4.8
Dating,68.97,10000000,0.0,Everyone 10+,4435,530,8,0,1,4.2
News & Magazines,175.05,5000000,0.0,Everyone 10+,6743,441,6,1,1,3.9
Medical,113.21,1000000,4.99,Everyone 10+,2879,112,8,1,0,4.1
Personalization,103.77,500,0.0,Everyone,23905,40,6,0,1,4.3
Events,145.67,10000,9.99,Mature 17+,2609,102,7,0,0,4.3
Events,116.39,50000,9.99,Everyone,23509,369,1,1,0,4.0
Photography,33.34,500,0.0,Everyone,7297,174,2,0,1,4.1
Photography,135.17,500,0.0,Everyone 10+,21628,341,4,1,1,3.7
Beauty,27.56,5000000,0.0,Adults only 18+,3686,196,5,1,1,4.1
Parenting,161.37,5000,0.0,Adults only 18+,1709,584,8,0,1,3.8
Auto & Vehicles,197.96,500000,4.99,Adults only 18+,9715,182,7,1,0,3.4
Photography,76.1,10000000,2.99,Everyone 10+,8546,323,3,0,0,3.7
Travel & Local,89.51,10000,0.0,Teen,5292,113,1,1,1,4.2
Auto & Vehicles,10.24,1000000,0.0,Mature 17+,13046,675,7,1,1,4.2
News & Magazines,3.73,5000,2.99,Everyone 10+,1200,551,6,1,0,4.1
Game,184.36,1000,0.0,Everyone 10+,11674,235,3,1,1,3.7
Finance,26.6,5000000,2.99,Everyone,2855,505,4,0,0,4.1
Parenting,89.71,500000,4.99,Adults only 18+,1657,71,2,0,0,4.0
Productivity,163.26,100,0.0,Everyone 10+,28843,219,4,1,1,3.9
Social,177.97,1000000,0.0,Teen,7390,517,1,0,1,3.8
Sports,104.36,5000,4.99,Mature 17+,17297,165,1,0,0,4.7
Libraries & Demo,113.44,10000000,0.0,Teen,1120,513,5,1,1,4.1
House & Home,134.27,1000000,0.0,Everyone 10+,710,381,8,1,1,4.0
Beauty,192.32,500000,0.0,Everyone 10+,8195,184,4,1,1,4.5
Communication,120.93,1000,0.0,Everyone,4550,369,1,0,1,4.1
News & Magazines,112.34,1000,0.0,Teen,59,448,4,1,1,4.0
Education,3.89,1000000,0.0,Everyone,2430,8,5,1,1,4.7
Maps & Navigation,17.11,1000,0.0,Teen,2963,620,5,1,1,4.0
Books & Reference,115.86,5000,1.99,Adults only 18+,4085,382,4,0,0,4.2
Productivity,187.31,1000000,0.0,Adults only 18+,25199,382,6,0,1,4.6
